"Var.1","Name","Time","Year","Var.5","Race","Beer","beer_url","name_url","event_url","event_name","event_location","event_date"
3,"Corey Bellemore","4:36.8",2019,NA,"Berlin Germany2019 Beer Mile World Clas...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151463","2019 Beer Mile World Classic","Berlin Germany","August 3, 2019"
3,"Corey Bellemore","4:36.8",2019,NA,"Berlin Germany2019 Beer Mile World Clas...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151463","2019 Beer Mile World Classic","Berlin Germany","August 3, 2019"
3,"Corey Bellemore","4:36.8",2019,NA,"Berlin Germany2019 Beer Mile World Clas...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151463","2019 Beer Mile World Classic","Berlin Germany","August 3, 2019"
3,"Corey Bellemore","4:36.8",2019,NA,"Berlin Germany2019 Beer Mile World Clas...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151463","2019 Beer Mile World Classic","Berlin Germany","August 3, 2019"
3,"Corey Bellemore","4:36.8",2019,NA,"Berlin Germany2019 Beer Mile World Clas...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151463","2019 Beer Mile World Classic","Berlin Germany","August 3, 2019"
3,"Corey Bellemore","4:36.8",2019,NA,"Berlin Germany2019 Beer Mile World Clas...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151463","2019 Beer Mile World Classic","Berlin Germany","August 3, 2019"
3,"Corey Bellemore","4:36.8",2019,NA,"Berlin Germany2019 Beer Mile World Clas...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151463","2019 Beer Mile World Classic","Berlin Germany","August 3, 2019"
3,"Corey Bellemore","4:36.8",2019,NA,"Berlin Germany2019 Beer Mile World Clas...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151463","2019 Beer Mile World Classic","Berlin Germany","August 3, 2019"
3,"Corey Bellemore","4:36.8",2019,NA,"Berlin Germany2019 Beer Mile World Clas...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151463","2019 Beer Mile World Classic","Berlin Germany","August 3, 2019"
3,"Corey Bellemore","4:36.8",2019,NA,"Berlin Germany2019 Beer Mile World Clas...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151463","2019 Beer Mile World Classic","Berlin Germany","August 3, 2019"
3,"Corey Bellemore","4:36.8",2019,NA,"Berlin Germany2019 Beer Mile World Clas...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151463","2019 Beer Mile World Classic","Berlin Germany","August 3, 2019"
3,"Corey Bellemore","4:36.8",2019,NA,"Berlin Germany2019 Beer Mile World Clas...","Flying Monkeys","https://www.beermile.com/records/ref_beer/beertype_Flying+Monkeys","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Bellemore","https://www.beermile.com/display/event_151463","2019 Beer Mile World Classic","Berlin Germany","August 3, 2019"
