"Var.1","Name","Time","Year","Var.5","Race","Beer","beer_url","name_url","event_url","event_name","event_location","event_date","minute","seconds","total_time_in_secs"
18,"Lewis ""Hollywood"" Kent","4:51.11",2017,NA,"Clifton Hill, Victoria, A...Brooks International Beer...","Amsterdam Blonde","https://www.beermile.com/records/ref_beer/beertype_Amsterdam+Blonde","https://www.beermile.com/query_indy/submit_1/ref_query/name_Lewis+""Hollywood""+Kent","https://www.beermile.com/display/event_150441","Brooks International Beer Mile ","Clifton Hill, Victoria, Australia","May 13, 2017",4,51.11,291.11
19,"Josh Harris","4:51.33",2016,NA,"Launceston, Tasmania, Aus...End of year Beer Mile","Molson Canadian","https://www.beermile.com/records/ref_beer/beertype_Molson+Canadian","https://www.beermile.com/query_indy/submit_1/ref_query/name_Josh+Harris","https://www.beermile.com/display/event_150408","End of year Beer Mile","Launceston, Tasmania, Australia","December 30, 2016",4,51.33,291.33
20,"Lewis Kent","4:51.9",2015,NA,"CanadaLewis Kent Rules the Worl...","Amsterdam Blonde","https://www.beermile.com/records/ref_beer/beertype_Amsterdam+Blonde","https://www.beermile.com/query_indy/submit_1/ref_query/name_Lewis+Kent","https://www.beermile.com/display/event_6572","Lewis Kent Rules the World","Canada","November 17, 2015",4,51.9,291.9
21,"Chris Robertson","4:52.17",2017,NA,"Allianz Park, London Engl...Beer Mile World Classic: ...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151096","Beer Mile World Classic: 2017 Men","Allianz Park, London England","August 12, 2017",4,52.17,292.17
22,"Markus Liwing","4:53",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","Bocanegro","https://www.beermile.com/records/ref_beer/beertype_Bocanegro","https://www.beermile.com/query_indy/submit_1/ref_query/name_Markus+Liwing","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020",4,53,293
23,"Corey Gallagher","4:54.38",2015,NA,"University of ManitobaCorey Gallagher vs. Himse...","Bud Light Platinum","https://www.beermile.com/records/ref_beer/beertype_Bud+Light+Platinum","https://www.beermile.com/query_indy/submit_1/ref_query/name_Corey+Gallagher","https://www.beermile.com/display/event_6533","Corey Gallagher vs. Himself","University of Manitoba","October 10, 2015",4,54.38,294.38
24,"Garrett Cullen","4:54.5",2016,NA,"San Francisco, CAWVTC Summer Classic 2016","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Garrett+Cullen","https://www.beermile.com/display/event_150268","WVTC Summer Classic 2016","San Francisco, CA","July 9, 2016",4,54.5,294.5
25,"Chris Robertson","4:55",2017,NA,"Chicago, IL, United State...July Time Trial","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_150514","July Time Trial","Chicago, IL, United States","July 14, 2017",4,55,295
26,"Chris Robertson","4:55",2020,NA,"ChicagoPractice Beer Mile 2020 #...","Blue Moon","https://www.beermile.com/records/ref_beer/beertype_Blue+Moon","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_151615","Practice Beer Mile 2020 #1","Chicago","June 4, 2020",4,55,295
27,"Phil Parrot-Migas","4:55.53",2016,NA,"London, ON, CanadaCanada Day Long Weekend B...","Amsterdam Blonde","https://www.beermile.com/records/ref_beer/beertype_Amsterdam+Blonde","https://www.beermile.com/query_indy/submit_1/ref_query/name_Phil+Parrot-Migas","https://www.beermile.com/display/event_150255","Canada Day Long Weekend Beer Mile ","London, ON, Canada","July 3, 2016",4,55.53,295.53
