"Var.1","Name","Time","Year","Var.5","Race","Beer","beer_url","name_url","event_url","event_name","event_location","event_date","minute","seconds","total_time_in_secs"
205,"Thijmen Vanderloop","5:47.1",2019,NA,"Berlin GermanyBeer Mile World Classic: ...","Carlsberg","https://www.beermile.com/records/ref_beer/beertype_Carlsberg","https://www.beermile.com/query_indy/submit_1/ref_query/name_Thijmen+Vanderloop","https://www.beermile.com/display/event_151465","Beer Mile World Classic: Sub-Elite Race","Berlin Germany","August 3, 2019",5,47.1,347.1
206,"Tyler Deniston","5:47.86",2016,NA,"London, United KingdomBeer Mile World Classic L...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Tyler+Deniston","https://www.beermile.com/display/event_150287","Beer Mile World Classic London 2016: Mens' Elite Championship","London, United Kingdom","July 31, 2016",5,47.86,347.86
207,"Dan Michaluk","5:48",1997,NA,"Kingston, ON3rd Annual Kingston Sprin...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Dan+Michaluk","https://www.beermile.com/display/event_55","3rd Annual Kingston Spring Beer Mile","Kingston, ON","April 5, 1997",5,48,348
208,"Chris Swallow","5:48",2017,NA,"Newtown Park - Wellington...FCAC Beer Mile Episode 2:...","Sapporo","https://www.beermile.com/records/ref_beer/beertype_Sapporo","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Swallow","https://www.beermile.com/display/event_151135","FCAC Beer Mile Episode 2: Farewell Newtown Park","Newtown Park - Wellington Zoo, Wellington, New Zealand","November 26, 2017",5,48,348
209,"Charlie ""Blanch"" Blanch","5:48",2018,NA,"Wangaratta, Victoria, Aus...2018 Malt Shed Wangaratta...","James Boag Premium","https://www.beermile.com/records/ref_beer/beertype_James+Boag+Premium","https://www.beermile.com/query_indy/submit_1/ref_query/name_Charlie+""Blanch""+Blanch","https://www.beermile.com/display/event_151372","2018 Malt Shed Wangaratta Beer Mile","Wangaratta, Victoria, Australia","December 30, 2018",5,48,348
210,"Thane Hancock","5:48",1997,NA,"Amherst, MAACT&F Championships (1997...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Thane+Hancock","https://www.beermile.com/display/event_270","ACT&amp;F Championships (1997)","Amherst, MA","May 9, 1997",5,48,348
211,"John ""Sparkle"" Markell","5:48",2015,NA,"Mill Valley, CA, United S...Southern Marin Beer Mile","Sierra Nevada Pale Ale","https://www.beermile.com/records/ref_beer/beertype_Sierra+Nevada+Pale+Ale","https://www.beermile.com/query_indy/submit_1/ref_query/name_John+""Sparkle""+Markell","https://www.beermile.com/display/event_6521","Southern Marin Beer Mile","Mill Valley, CA, United States","September 19, 2015",5,48,348
212,"Jeff Mountjoy","5:48",2013,NA,"Kingston, ONKingston Fall Beer Mile 2...","Laker","https://www.beermile.com/records/ref_beer/beertype_Laker","https://www.beermile.com/query_indy/submit_1/ref_query/name_Jeff+Mountjoy","https://www.beermile.com/display/event_6105","Kingston Fall Beer Mile 2013","Kingston, ON","November 16, 2013",5,48,348
213,"Dan Michaluk","5:48.4",1998,NA,"Kingston, ONKingston Classic X","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Dan+Michaluk","https://www.beermile.com/display/event_59","Kingston Classic X","Kingston, ON","August 8, 1998",5,48.4,348.4
214,"Dominic Neumann","5:48.4",2014,NA,"Cologne/GermanyBeermile Cologne","Budweiser 5% 0.33l","https://www.beermile.com/records/ref_beer/beertype_Budweiser+5%+0.33l","https://www.beermile.com/query_indy/submit_1/ref_query/name_Dominic+Neumann","https://www.beermile.com/display/event_6101","Beermile Cologne","Cologne/Germany","August 30, 2014",5,48.4,348.4
215,"Dan Michaluk","5:49",1997,NA,"Kingston, ONKingston Classic IX","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Dan+Michaluk","https://www.beermile.com/display/event_60","Kingston Classic IX","Kingston, ON","August 9, 1997",5,49,349
216,"Lars Finanger","5:50",2015,NA,"Austin, TX, United StatesFloTrack 2015 Championshi...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Lars+Finanger","https://www.beermile.com/display/event_6612","FloTrack 2015 Championships, Men's Sub-Elite","Austin, TX, United States","December 1, 2015",5,50,350
217,"Todd ""T Rose"" Rose","5:50",2007,NA,"San Francisco, CA1st Annual WVTC Winter Cl...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Todd+""T+Rose""+Rose","https://www.beermile.com/display/event_820","1st Annual WVTC Winter Classic","San Francisco, CA","February 24, 2007",5,50,350
218,"Karl Roskamp","5:50",2015,NA,"Town and Country, Mo.The Westminster Mile","Left Hand Milk Stout","https://www.beermile.com/records/ref_beer/beertype_Left+Hand+Milk+Stout","https://www.beermile.com/query_indy/submit_1/ref_query/name_Karl+Roskamp","https://www.beermile.com/display/event_6379","The Westminster Mile","Town and Country, Mo.","June 13, 2015",5,50,350
219,"Jeff ""Mounty"" Mountjoy","5:50.7",2018,NA,"Vancouver, BC, CanadaBeer Mile World Classic 2...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Jeff+""Mounty""+Mountjoy","https://www.beermile.com/display/event_151287","Beer Mile World Classic 2018","Vancouver, BC, Canada","August 11, 2018",5,50.7,350.7
220,"Luis Armenteros","5:50.99",2013,NA,"Houston, TXThe Hemingway Hash Beer M...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Luis+Armenteros","https://www.beermile.com/display/event_5786","The Hemingway Hash Beer Mile","Houston, TX","April 14, 2013",5,50.99,350.99
221,"Dana Bellows","5:51",1998,NA,"Amherst, MANESCAC Championships I","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Dana+Bellows","https://www.beermile.com/display/event_5","NESCAC Championships I","Amherst, MA","April 18, 1998",5,51,351
222,"Jeff Mountjoy","5:51",2014,NA,"Whitby, ON2014 Whitby Classic","Laker Lager","https://www.beermile.com/records/ref_beer/beertype_Laker+Lager","https://www.beermile.com/query_indy/submit_1/ref_query/name_Jeff+Mountjoy","https://www.beermile.com/display/event_6127","2014 Whitby Classic","Whitby, ON","August 22, 2014",5,51,351
223,"Crosby Freeman","5:51",2015,NA,"San Francisco, CAWVTC Winter Classic 2015","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Crosby+Freeman","https://www.beermile.com/display/event_6292","WVTC Winter Classic 2015","San Francisco, CA","March 13, 2015",5,51,351
224,"Erik Martinsson","5:51.1",2012,NA,"Linkoping, SwedenLiTHe Syra Annual Beer Mi...","Spendrups, 33 cl","https://www.beermile.com/records/ref_beer/beertype_Spendrups,+33+cl","https://www.beermile.com/query_indy/submit_1/ref_query/name_Erik+Martinsson","https://www.beermile.com/display/event_5690","LiTHe Syra Annual Beer Mile 2012","Linkoping, Sweden","October 2, 2012",5,51.1,351.1
225,"Peter Erikson","5:51.3",2018,NA,"Vancouver, BC, CanadaBeer Mile World Classic 2...","Sleeman Cream Ale","https://www.beermile.com/records/ref_beer/beertype_Sleeman+Cream+Ale","https://www.beermile.com/query_indy/submit_1/ref_query/name_Peter+Erikson","https://www.beermile.com/display/event_151287","Beer Mile World Classic 2018","Vancouver, BC, Canada","August 11, 2018",5,51.3,351.3
226,"Dave Cybulski","5:52",2007,NA,"Thunder Bay, ON1st Annual Saint Patrick'...","Keiths","https://www.beermile.com/records/ref_beer/beertype_Keiths","https://www.beermile.com/query_indy/submit_1/ref_query/name_Dave+Cybulski","https://www.beermile.com/display/event_748","1st Annual Saint Patrick's Day Beer Mile","Thunder Bay, ON","March 17, 2007",5,52,352
227,"Chris ""Scotland"" Russell","5:52",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+""Scotland""+Russell","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020",5,52,352
228,"John Markell","5:52",2015,NA,"Austin, TX, United StatesFloTrack 2015 Championshi...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_John+Markell","https://www.beermile.com/display/event_6606","FloTrack 2015 Championships, Men's Elite","Austin, TX, United States","December 1, 2015",5,52,352
229,"Rob Whitmill","5:53",2015,NA,"London, ONOntario Beer Mile Champio...","Kingfisher","https://www.beermile.com/records/ref_beer/beertype_Kingfisher","https://www.beermile.com/query_indy/submit_1/ref_query/name_Rob+Whitmill","https://www.beermile.com/display/event_6418","Ontario Beer Mile Championchips","London, ON","June 27, 2015",5,53,353
230,"Rob Whitmill","5:53",2015,NA,"London, ONOntario Beer Mile Champio...","King Fisher","https://www.beermile.com/records/ref_beer/beertype_King+Fisher","https://www.beermile.com/query_indy/submit_1/ref_query/name_Rob+Whitmill","https://www.beermile.com/display/event_6423","Ontario Beer Mile Championships","London, ON","June 27, 2015",5,53,353
231,"Philippe Parrot-Migas","5:53",2015,NA,"Austin, TX, United StatesFloTrack 2015 Championshi...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Philippe+Parrot-Migas","https://www.beermile.com/display/event_6606","FloTrack 2015 Championships, Men's Elite","Austin, TX, United States","December 1, 2015",5,53,353
232,"Joe ""Olive Oil"" Uhan","5:54",2013,NA,"Eugene, OREugene Beer Mile #3","Yella Pils","https://www.beermile.com/records/ref_beer/beertype_Yella+Pils","https://www.beermile.com/query_indy/submit_1/ref_query/name_Joe+""Olive+Oil""+Uhan","https://www.beermile.com/display/event_5803","Eugene Beer Mile #3","Eugene, OR","May 11, 2013",5,54,354
233,"Thane Hancock","5:54.7",1996,NA,"Amherst, MAACT&F Championships","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Thane+Hancock","https://www.beermile.com/display/event_3","ACT&amp;F Championships","Amherst, MA","May 12, 1996",5,54.7,354.7
234,"Mike Logue","5:54.9",2006,NA,"Waterloo, ON5th Annual Spring K-W BM ...","Carling Black Label","https://www.beermile.com/records/ref_beer/beertype_Carling+Black+Label","https://www.beermile.com/query_indy/submit_1/ref_query/name_Mike+Logue","https://www.beermile.com/display/event_589","5th Annual Spring K-W BM (Ontario Championships)","Waterloo, ON","April 1, 2006",5,54.9,354.9
235,"Mike Vine","5:55",2000,NA,"Victoria, BCIsland Road Racers Christ...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Mike+Vine","https://www.beermile.com/display/event_107","Island Road Racers Christmas Beer Mile","Victoria, BC","December 19, 2000",5,55,355
236,"Chris Robertson","5:55",2014,NA,"Ames, IowaIowa State Running Club B...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Robertson","https://www.beermile.com/display/event_6122","Iowa State Running Club Beer Mile","Ames, Iowa","October 4, 2014",5,55,355
237,"Andreas Åhwall","5:55.3",2012,NA,"Linkoping, SwedenLiTHe Syra Annual Beer Mi...","33 cl","https://www.beermile.com/records/ref_beer/beertype_33+cl","https://www.beermile.com/query_indy/submit_1/ref_query/name_Andreas+Åhwall","https://www.beermile.com/display/event_5690","LiTHe Syra Annual Beer Mile 2012","Linkoping, Sweden","October 2, 2012",5,55.3,355.3
238,"Biniok Freidrich","5:55.4",2019,NA,"Berlin GermanyBeer Mile World Classic: ...","Carlsberg","https://www.beermile.com/records/ref_beer/beertype_Carlsberg","https://www.beermile.com/query_indy/submit_1/ref_query/name_Biniok+Freidrich","https://www.beermile.com/display/event_151465","Beer Mile World Classic: Sub-Elite Race","Berlin Germany","August 3, 2019",5,55.4,355.4
239,"Dan Michaluk","5:55.5",1996,NA,"Kingston, ONKingston Classic VIII","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Dan+Michaluk","https://www.beermile.com/display/event_47","Kingston Classic VIII","Kingston, ON","August 24, 1996",5,55.5,355.5
240,"Iain ""I-Ballz"" McCormick","5:55.57",2017,NA,"Saskatoon, SK, CanadaSecond Annual Spring Clas...","Kokanee","https://www.beermile.com/records/ref_beer/beertype_Kokanee","https://www.beermile.com/query_indy/submit_1/ref_query/name_Iain+""I-Ballz""+McCormick","https://www.beermile.com/display/event_150442","Second Annual Spring Classic Beer Mile","Saskatoon, SK, Canada","April 8, 2017",5,55.57,355.57
241,"Reed Lyon","5:55.79",2017,NA,"Allianz Park, London Engl...Beer Mile World Classic: ...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Reed+Lyon","https://www.beermile.com/display/event_151096","Beer Mile World Classic: 2017 Men","Allianz Park, London England","August 12, 2017",5,55.79,355.79
242,"Forrest Braden","5:56",2005,NA,"Boise, IDBoise Beer Mile","Miller Genuine Draft","https://www.beermile.com/records/ref_beer/beertype_Miller+Genuine+Draft","https://www.beermile.com/query_indy/submit_1/ref_query/name_Forrest+Braden","https://www.beermile.com/display/event_505","Boise Beer Mile","Boise, ID","September 24, 2005",5,56,356
243,"Chris Denucci","5:56",2015,NA,"Mill Valley, CA, United S...Southern Marin Beer Mile","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+Denucci","https://www.beermile.com/display/event_6521","Southern Marin Beer Mile","Mill Valley, CA, United States","September 19, 2015",5,56,356
244,"Reed ""USA"" Lyon","5:56",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Reed+""USA""+Lyon","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020",5,56,356
245,"Todd ""T Rose"" Rose","5:56.5",2007,NA,"San Francisco, CA2nd Annual WVTC Summer Cl...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Todd+""T+Rose""+Rose","https://www.beermile.com/display/event_1125","2nd Annual WVTC Summer Classic","San Francisco, CA","August 17, 2007",5,56.5,356.5
246,"Todd ""T-Rose"" Rose","5:56.76",2017,NA,"Allianz Park, London Engl...Beer Mile World Classic: ...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Todd+""T-Rose""+Rose","https://www.beermile.com/display/event_151096","Beer Mile World Classic: 2017 Men","Allianz Park, London England","August 12, 2017",5,56.76,356.76
247,"Peter Eriksson","5:56.9",2019,NA,"Berlin Germany2019 Beer Mile World Clas...","Presidente","https://www.beermile.com/records/ref_beer/beertype_Presidente","https://www.beermile.com/query_indy/submit_1/ref_query/name_Peter+Eriksson","https://www.beermile.com/display/event_151463","2019 Beer Mile World Classic","Berlin Germany","August 3, 2019",5,56.9,356.9
248,"Laurie Lauscombe","5:56.99",2016,NA,"London, United KingdomBeer Mile World Classic L...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Laurie+Lauscombe","https://www.beermile.com/display/event_150287","Beer Mile World Classic London 2016: Mens' Elite Championship","London, United Kingdom","July 31, 2016",5,56.99,356.99
249,"Andrew Hall","5:57",2015,NA,"Edmonton, ABAndy and Jer go for the 6...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Andrew+Hall","https://www.beermile.com/display/event_6447","Andy and Jer go for the 6 minute barrier!","Edmonton, AB","July 10, 2015",5,57,357
250,"Jeremy Bryant","5:57",2015,NA,"Edmonton, ABAndy and Jer go for the 6...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Jeremy+Bryant","https://www.beermile.com/display/event_6447","Andy and Jer go for the 6 minute barrier!","Edmonton, AB","July 10, 2015",5,57,357
251,"Dan Michaluk","5:57",1995,NA,"Kingston, ONKingston Classic VII","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Dan+Michaluk","https://www.beermile.com/display/event_41","Kingston Classic VII","Kingston, ON","August 12, 1995",5,57,357
252,"Miguel Ortiz","5:57",2018,NA,"København, DanmarkMikkeller Beer Mile Danis...","Mikkeller Beer Mile","https://www.beermile.com/records/ref_beer/beertype_Mikkeller+Beer+Mile","https://www.beermile.com/query_indy/submit_1/ref_query/name_Miguel+Ortiz","https://www.beermile.com/display/event_151210","Mikkeller Beer Mile Danish Championships Open","København, Danmark","May 9, 2018",5,57,357
253,"Tyler Deniston","5:57",2015,NA,"Austin, TX, United StatesFloTrack 2015 Championshi...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Tyler+Deniston","https://www.beermile.com/display/event_6612","FloTrack 2015 Championships, Men's Sub-Elite","Austin, TX, United States","December 1, 2015",5,57,357
254,"Mthobisi Baloyi","5:57",2015,NA,"McArthur Stadium, Potchef...Potch 2015 Beer Mile","Erdinger","https://www.beermile.com/records/ref_beer/beertype_Erdinger","https://www.beermile.com/query_indy/submit_1/ref_query/name_Mthobisi+Baloyi","https://www.beermile.com/display/event_6519","Potch 2015 Beer Mile","McArthur Stadium, Potchefstroom, South Africa","October 9, 2015",5,57,357
255,"Dikotsi Lekopa","5:57",2015,NA,"McArthur Stadium, Potchef...Potch 2015 Beer Mile","Erdinger","https://www.beermile.com/records/ref_beer/beertype_Erdinger","https://www.beermile.com/query_indy/submit_1/ref_query/name_Dikotsi+Lekopa","https://www.beermile.com/display/event_6519","Potch 2015 Beer Mile","McArthur Stadium, Potchefstroom, South Africa","October 9, 2015",5,57,357
256,"Jim Finlayson","5:57",2017,NA,"Victoria, BC, CanadaESPRIT RC Beer Mile - 3rd...","Phillips Slipstream Ale","https://www.beermile.com/records/ref_beer/beertype_Phillips+Slipstream+Ale","https://www.beermile.com/query_indy/submit_1/ref_query/name_Jim+Finlayson","https://www.beermile.com/display/event_151153","ESPRIT RC Beer Mile - 3rd Annual ","Victoria, BC, Canada","December 20, 2017",5,57,357
257,"Lothar ""Germany"" Wyroll","5:57",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Lothar+""Germany""+Wyroll","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020",5,57,357
258,"Nick Walker","5:57",2007,NA,"Victoria, BC4th Annual Dave Smart Bee...","Granville Island Winter A...","https://www.beermile.com/records/ref_beer/beertype_Granville+Island+Winter+A...","https://www.beermile.com/query_indy/submit_1/ref_query/name_Nick+Walker","https://www.beermile.com/display/event_913","4th Annual Dave Smart Beer Mile","Victoria, BC","December 18, 2007",5,57,357
259,"Ian Fallas","5:58",1998,NA,"Calgary, AB1998 Pre Jasper-Banff Rel...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Ian+Fallas","https://www.beermile.com/display/event_22","1998 Pre Jasper-Banff Relay Beer Mile","Calgary, AB","May 28, 1998",5,58,358
260,"Calum ""Canada"" Neff","5:58",2006,NA,"Houston, TX3rd Annual Houston Vs. La...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Calum+""Canada""+Neff","https://www.beermile.com/display/event_715","3rd Annual Houston Vs. Lamar Beer Mile","Houston, TX","December 9, 2006",5,58,358
261,"Steve Contreras","5:58.2",1996,NA,"Amherst, MAACT&F Championships","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Steve+Contreras","https://www.beermile.com/display/event_3","ACT&amp;F Championships","Amherst, MA","May 12, 1996",5,58.2,358.2
262,"Robin Schembera","5:58.7",2014,NA,"Cologne/GermanyBeermile Cologne","Heineken 5% 0.33l","https://www.beermile.com/records/ref_beer/beertype_Heineken+5%+0.33l","https://www.beermile.com/query_indy/submit_1/ref_query/name_Robin+Schembera","https://www.beermile.com/display/event_6101","Beermile Cologne","Cologne/Germany","August 30, 2014",5,58.7,358.7
263,"Dan Michaluk","5:59",2000,NA,"Kingston, ONKingston Classic XII","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Dan+Michaluk","https://www.beermile.com/display/event_48","Kingston Classic XII","Kingston, ON","August 26, 2000",5,59,359
264,"Dan Michaluk","5:59",2000,NA,"Kingston, ON6th Annual Kingston Sprin...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Dan+Michaluk","https://www.beermile.com/display/event_56","6th Annual Kingston Spring Beer Mile","Kingston, ON","April 7, 2000",5,59,359
265,"Jim Gignac","5:59",1999,NA,"Windsor, ONWindsor Fall Beer Mile","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Jim+Gignac","https://www.beermile.com/display/event_113","Windsor Fall Beer Mile","Windsor, ON","December 3, 1999",5,59,359
266,"Charlie ""Blanch"" Blanch","5:59",2019,NA,"Wareena Park, Wangaratta,...2019 Wangaratta Beer Mile","Sapporo","https://www.beermile.com/records/ref_beer/beertype_Sapporo","https://www.beermile.com/query_indy/submit_1/ref_query/name_Charlie+""Blanch""+Blanch","https://www.beermile.com/display/event_151558","2019 Wangaratta Beer Mile","Wareena Park, Wangaratta, Victoria, Australia","December 28, 2019",5,59,359
267,"ADREW hall","5:59",2016,NA,"Vancouver, BC, Canada3rd Annual Fraser Street ...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_ADREW+hall","https://www.beermile.com/display/event_150394","3rd Annual Fraser Street Run Club Beer Mile","Vancouver, BC, Canada","December 3, 2016",5,59,359
268,"Bennie Roux","5:59",2016,NA,"Pretoria, Gauteng, South ...Centurion Beermile 2016","Amstel","https://www.beermile.com/records/ref_beer/beertype_Amstel","https://www.beermile.com/query_indy/submit_1/ref_query/name_Bennie+Roux","https://www.beermile.com/display/event_150396","Centurion Beermile 2016","Pretoria, Gauteng, South Africa","December 6, 2016",5,59,359
269,"Sean ""Mr. Rogers"" Rogers","5:59",2008,NA,"Birmingham, ALSamford Beer Mile 08'","HighLife","https://www.beermile.com/records/ref_beer/beertype_HighLife","https://www.beermile.com/query_indy/submit_1/ref_query/name_Sean+""Mr.+Rogers""+Rogers","https://www.beermile.com/display/event_967","Samford Beer Mile 08'","Birmingham, AL","May 9, 2008",5,59,359
270,"Brandon ""Brando"" Griffin","5:59.7",2005,NA,"Roseville, MNconnie wilmes memorial be...","Miller High Life","https://www.beermile.com/records/ref_beer/beertype_Miller+High+Life","https://www.beermile.com/query_indy/submit_1/ref_query/name_Brandon+""Brando""+Griffin","https://www.beermile.com/display/event_385","connie wilmes memorial beer mile","Roseville, MN","July 15, 2005",5,59.7,359.7
271,"Donald Baril","6:00",1997,NA,"Amherst, MAACT&F Championships (1997...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_Donald+Baril","https://www.beermile.com/display/event_270","ACT&amp;F Championships (1997)","Amherst, MA","May 9, 1997",6,0,360
272,"Anna Holm","6:00",2019,NA,"CopenhagenMikkeller European Beer M...","Mikkeller Beer Mile","https://www.beermile.com/records/ref_beer/beertype_Mikkeller+Beer+Mile","https://www.beermile.com/query_indy/submit_1/ref_query/name_Anna+Holm","https://www.beermile.com/display/event_151488","Mikkeller European Beer Mile Championships Open","Copenhagen","August 24, 2019",6,0,360
273,"Ian Hancke","6:00.7",2015,NA,"Flatrock Speedway, Carlto...2015 Michigan Beer Mile, ...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Ian+Hancke","https://www.beermile.com/display/event_6609","2015 Michigan Beer Mile, Elite Heat","Flatrock Speedway, Carlton, MI","November 14, 2015",6,0.7,360.7
274,"Reed Lyon","6:01",2015,NA,"San Francisco, CAWVTC Winter Classic 2015","Negro Modelo","https://www.beermile.com/records/ref_beer/beertype_Negro+Modelo","https://www.beermile.com/query_indy/submit_1/ref_query/name_Reed+Lyon","https://www.beermile.com/display/event_6292","WVTC Winter Classic 2015","San Francisco, CA","March 13, 2015",6,1,361
275,"Ben Schmeckpeper","6:01",2006,NA,"Cambridge, MACambridge Beer Mile Champ...","Heineken","https://www.beermile.com/records/ref_beer/beertype_Heineken","https://www.beermile.com/query_indy/submit_1/ref_query/name_Ben+Schmeckpeper","https://www.beermile.com/display/event_624","Cambridge Beer Mile Championships","Cambridge, MA","May 20, 2006",6,1,361
276,"Ian Fallas","6:01.1",1996,NA,"Kingston, ONKingston Classic VIII","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Ian+Fallas","https://www.beermile.com/display/event_47","Kingston Classic VIII","Kingston, ON","August 24, 1996",6,1.1,361.1
277,"Dave Hutchinson","6:01.7",2006,NA,"Waterloo, ON5th Annual Spring K-W BM ...","Labatt 50 / Molson Canadi...","https://www.beermile.com/records/ref_beer/beertype_Labatt+50+/+Molson+Canadi...","https://www.beermile.com/query_indy/submit_1/ref_query/name_Dave+Hutchinson","https://www.beermile.com/display/event_589","5th Annual Spring K-W BM (Ontario Championships)","Waterloo, ON","April 1, 2006",6,1.7,361.7
278,"Chris ""Brewski"" Bruce","6:02",2006,NA,"Cambridge, MACambridge Beer Mile Champ...","Miller High Life","https://www.beermile.com/records/ref_beer/beertype_Miller+High+Life","https://www.beermile.com/query_indy/submit_1/ref_query/name_Chris+""Brewski""+Bruce","https://www.beermile.com/display/event_624","Cambridge Beer Mile Championships","Cambridge, MA","May 20, 2006",6,2,362
279,"Rosendo Vallejos","6:02",2005,NA,"New Orleans, LAABITA New Orleans Winter ...","Abita Amber","https://www.beermile.com/records/ref_beer/beertype_Abita+Amber","https://www.beermile.com/query_indy/submit_1/ref_query/name_Rosendo+Vallejos","https://www.beermile.com/display/event_379","ABITA New Orleans Winter  2005 Beer Mile","New Orleans, LA","January 4, 2005",6,2,362
280,"John ""Sparkle"" Markell","6:02",2015,NA,"San Francisco, CA, United...John ""Sparkle"" Markell vs...","Budweiser","https://www.beermile.com/records/ref_beer/beertype_Budweiser","https://www.beermile.com/query_indy/submit_1/ref_query/name_John+""Sparkle""+Markell","https://www.beermile.com/display/event_6471","John ""Sparkle"" Markell vs. Himself","San Francisco, CA, United States","August 8, 2015",6,2,362
281,"Peter ""SWE"" Erikkson","6:02",2020,NA,"San Francisco, cA2020 Beer Mile World Clas...","","https://www.beermile.com/records/ref_beer/beertype_","https://www.beermile.com/query_indy/submit_1/ref_query/name_Peter+""SWE""+Erikkson","https://www.beermile.com/display/event_151627","2020 Beer Mile World Classic (Men's)","San Francisco, cA","July 4, 2020",6,2,362
